Rows,Cols,CPU_Rows,GPU_Rows,Rate(MB/s),Avg_time,Min_time,Max_time,GPU_Power(W),GPU_Energy(J),CPU_Power(W),CPU_Energy(J),DRAM_Power(W),DRAM_Energy(J),Total_Power_inc_DRAM(W),Total_Energy_inc_DRAM(W),Total_Power_exc_DRAM(W),Total_Energy_exc_DRAM(W),Power_efficiency,t_winner,pe_winner
8192,2048,896,7296,78.671,0.8666,0.853,0.9049,183.597,165.45,114.354,103.051,27.2328,0.6293,325.184,269.13,297.952,268.5,0.26404,0,0
8192,2048,1024,7168,80.684,0.8443,0.8317,0.8875,182.571,160.651,121.288,106.726,27.8021,0.6273,331.661,268.004,303.858,267.377,0.265531,0,0
8192,2048,1152,7040,84.0095,0.8128,0.7988,0.842,178.905,151.901,128.201,108.85,28.6119,0.6229,335.717,261.373,307.105,260.75,0.273553,0,0
8192,2048,1280,6912,86.0556,0.8066,0.7798,0.8446,179.839,151.035,135.382,113.699,29.1908,0.6286,344.411,265.362,315.22,264.734,0.273001,1,0
8192,2048,1408,6784,84.9891,0.8531,0.7896,0.9232,171.793,152.136,136.911,121.244,29.4695,0.6692,338.173,274.049,308.704,273.38,0.275309,0,0
8192,2048,1536,6656,83.9077,0.9032,0.7998,0.9755,163.191,152.964,137.762,129.128,29.4139,0.7069,330.366,282.798,300.952,282.092,0.278807,0,1
8192,2048,1664,6528,74.4579,0.9721,0.9013,1.0574,152.341,152.371,139.046,139.073,29.7695,0.7635,321.157,292.208,291.387,291.445,0.255529,0,0
8192,2048,1792,6400,71.5631,1.025,0.9378,1.1113,143.483,151.594,139.669,147.564,29.7008,0.8046,312.853,299.963,283.152,299.158,0.252737,0,0
8192,2048,1920,6272,70.5025,1.0742,0.9519,1.1717,136.811,151.214,140.2,154.959,29.765,0.8436,306.776,307.017,277.011,306.174,0.254511,0,0
8192,2048,2048,6144,65.2103,1.1171,1.0291,1.2349,130.268,150,141.847,163.331,29.977,0.8851,302.092,314.216,272.115,313.331,0.239642,0,0
8192,2048,2176,6016,61.5018,1.1903,1.0912,1.3867,124.632,152.369,141.396,172.863,29.9554,0.939,295.984,326.17,266.028,325.231,0.231185,0,0
8192,2048,2304,5888,59.0188,1.2421,1.1371,1.3569,120.671,154.064,141.184,180.252,29.762,0.9743,291.618,335.29,261.856,334.316,0.225387,0,0
8192,2048,2432,5760,58.2734,1.2878,1.1516,1.4251,116.946,154.519,142.394,188.144,30.2259,1.024,289.566,343.688,259.34,342.663,0.224699,0,0
8192,2048,2560,5632,54.4637,1.3321,1.2322,1.4668,114.276,156.424,142.783,195.446,30.0742,1.0556,287.133,352.926,257.059,351.871,0.211872,0,0
8192,2048,2688,5504,53.2346,1.3739,1.2606,1.5337,111.575,157.284,143.645,202.491,30.2683,1.0941,285.488,360.869,255.22,359.775,0.208583,0,0
8192,2048,2816,5376,50.1584,1.4703,1.3379,1.7011,107.742,162.569,141.234,213.104,30.055,1.1628,279.03,376.835,248.975,375.672,0.201459,0,0
8192,2048,2944,5248,49.1505,1.491,1.3654,1.6457,106.253,162.567,142.426,217.912,30.1066,1.1811,278.786,381.66,248.679,380.479,0.197646,0,0
8192,2048,3072,5120,47.0913,1.5113,1.4251,1.7198,104.541,162.555,143.639,223.35,30.2744,1.207,278.454,387.112,248.18,385.905,0.189747,0,0
8192,2048,3200,4992,44.6847,1.5907,1.5018,1.7796,102.096,166.66,143.194,233.747,30.3954,1.2722,275.685,401.68,245.29,400.408,0.182171,0,0
8192,2048,3328,4864,43.278,1.6221,1.5506,1.7343,100.601,167.673,143.544,239.246,30.2638,1.2934,274.41,408.213,244.146,406.919,0.177263,0,0
8192,2048,3456,4736,41.5755,1.6821,1.6141,1.9653,98.7844,170.61,143.339,247.56,30.2574,1.3399,272.381,419.511,242.123,418.171,0.171712,0,0
8192,2048,3584,4608,40.2853,1.7705,1.6658,1.9901,96.5504,175.696,141.627,257.724,30.3249,1.415,268.502,434.835,238.177,433.42,0.16914,0,0
8192,2048,3712,4480,38.8685,1.7938,1.7266,2.0632,95.8052,176.48,142.693,262.85,30.3655,1.4342,268.863,440.765,238.498,439.331,0.162972,0,0
8192,2048,3840,4352,38.4539,1.8353,1.7452,1.9614,94.2645,177.714,142.683,268.997,30.3804,1.4686,267.328,448.18,236.948,446.711,0.162289,0,0
8192,2048,3968,4224,36.986,1.8847,1.8144,2.0114,92.8095,179.782,142.586,276.205,30.501,1.515,265.896,457.502,235.395,455.987,0.157123,0,0
8192,2048,4096,4096,35.4,1.9547,1.8957,2.0949,91.8738,184.587,141.501,284.294,30.5004,1.5713,263.875,470.452,233.375,468.881,0.151688,0,0
8192,2048,4224,3968,34.7469,2.0098,1.9314,2.1321,90.9445,187.663,141.822,292.647,30.348,1.6057,263.114,481.916,232.766,480.311,0.149278,0,0
8192,2048,4352,3840,33.3648,2.0818,2.0114,2.4463,89.8994,192.107,139.999,299.164,30.3825,1.6647,260.281,492.935,229.898,491.27,0.145129,0,0
8192,2048,4480,3712,32.4616,2.1233,2.0673,2.3042,89.1172,194.786,140.879,307.923,30.4158,1.7046,260.412,504.413,229.996,502.709,0.14114,0,0
8192,2048,4608,3584,31.9039,2.1979,2.1035,2.3609,87.8242,198.434,138.821,313.658,30.2175,1.7506,256.862,513.843,226.645,512.093,0.140766,0,0
8192,2048,4736,3456,30.837,2.2348,2.1762,2.4491,87.2856,200.325,139.429,319.996,30.3169,1.7841,257.031,522.106,226.714,520.321,0.136017,0,0
8192,2048,4864,3328,30.2169,2.2963,2.2209,2.4375,86.7641,204.637,138.519,326.703,30.4659,1.8424,255.749,533.182,225.283,531.339,0.134129,0,0
8192,2048,4992,3200,29.6129,2.3295,2.2662,2.4888,86.1375,206.02,138.651,331.618,30.3477,1.8611,255.136,539.499,224.788,537.638,0.131737,0,0
8192,2048,5120,3072,28.8761,2.3949,2.324,2.6814,85.4301,210.127,138.714,341.186,30.3491,1.914,254.493,553.226,224.144,551.312,0.128828,0,0
8192,2048,5248,2944,27.9779,2.4659,2.3986,2.6614,84.811,215.068,136.956,347.298,30.2747,1.9685,252.041,564.334,221.767,562.366,0.126159,0,0
