Algorithm_Name,Input_Dimensions,Execution_Time(ms),Winning
naive_matrix_cpu,896,2949.528076,3
Strassen_Matrix_Multiplication_CPU,896,9601.089648,3
Strassen_Matrix_Multiplication_GPU,896,3.759663,3
Tiled_Matrix_Multiplication_GPU,896,1.917901,3
Naive_GPU,912,3.398362,3
naive_matrix_cpu,912,2242.474121,3
Strassen_Matrix_Multiplication_CPU,912,8491.710645,3
Strassen_Matrix_Multiplication_GPU,912,3.63566,3
Tiled_Matrix_Multiplication_GPU,912,1.937882,3
Naive_GPU,928,4.023034,3
naive_matrix_cpu,928,2654.029053,3
Strassen_Matrix_Multiplication_CPU,928,7513.10293,3
Strassen_Matrix_Multiplication_GPU,928,5.199718,3
Tiled_Matrix_Multiplication_GPU,928,2.145811,3
Naive_GPU,944,4.218867,3
naive_matrix_cpu,944,2518.554932,3
Strassen_Matrix_Multiplication_CPU,944,8005.095898,3
Strassen_Matrix_Multiplication_GPU,944,3.946626,3
Tiled_Matrix_Multiplication_GPU,944,2.038803,3
Naive_GPU,960,2.965254,3
naive_matrix_cpu,960,2932.9021,3
Strassen_Matrix_Multiplication_CPU,960,8122.038281,3
Strassen_Matrix_Multiplication_GPU,960,4.461914,3
Tiled_Matrix_Multiplication_GPU,960,2.234541,3
Naive_GPU,976,3.388467,3
naive_matrix_cpu,976,2813.3479,3
Strassen_Matrix_Multiplication_CPU,976,7580.320703,3
Strassen_Matrix_Multiplication_GPU,976,3.634942,3
Tiled_Matrix_Multiplication_GPU,976,2.271405,3
Naive_GPU,992,4.150925,3
naive_matrix_cpu,992,2909.158936,3
Strassen_Matrix_Multiplication_CPU,992,6752.002734,3
Strassen_Matrix_Multiplication_GPU,992,4.293206,3
Tiled_Matrix_Multiplication_GPU,992,2.856448,3
Naive_GPU,1008,3.16103,3
naive_matrix_cpu,1008,3112.738037,3
Strassen_Matrix_Multiplication_CPU,1008,8534.46582,3
Strassen_Matrix_Multiplication_GPU,1008,3.825773,3
Tiled_Matrix_Multiplication_GPU,1008,2.776429,3
